bundle,frequency,relative_frequency,DOCF,rel_DOCF,structure,function,sub_corpus,prompt_based_bundle
for college student to,16,330.11,14,2.33,NP/PP,RF,J-SM,prompt_based_bundle
is bad for health,16,330.11,16,2.67,VP,SE,J-SM,non_prompt_based_bundle
restaurants in the country,16,330.11,14,2.33,NP/PP,RF,J-SM,prompt_based_bundle
smoking should be banned,16,330.11,15,2.5,VP,SE,J-SM,prompt_based_bundle
who do n't smoke,16,330.11,13,2.17,DC,RF,J-SM,non_prompt_based_bundle
a lot of people,15,309.48,15,2.5,NP/PP,RF,J-SM,non_prompt_based_bundle
I disagree with the,15,309.48,14,2.33,VP,SE,J-SM,prompt_based_bundle
agree with this idea,14,288.84,14,2.33,VP,SE,J-SM,non_prompt_based_bundle
bad for our health,14,288.84,14,2.33,NP/PP,SE,J-SM,non_prompt_based_bundle
I think smoking should,14,288.84,14,2.33,VP,SE,J-SM,non_prompt_based_bundle
important for college student,14,288.84,12,2,NP/PP,SE,J-SM,prompt_based_bundle
it should be banned,14,288.84,12,2,VP,SE,J-SM,prompt_based_bundle
part-time job is very,14,288.84,12,2,VP,SE,J-SM,prompt_based_bundle
smoking in the restaurant,14,288.84,12,2,NP/PP,RF,J-SM,non_prompt_based_bundle
agree this statement because,13,268.21,13,2.17,VP,SE,J-SM,prompt_based_bundle
is very bad for,13,268.21,13,2.17,VP,SE,J-SM,non_prompt_based_bundle
it is not good,13,268.21,12,2,VP,SE,J-SM,non_prompt_based_bundle
part time job because,13,268.21,13,2.17,NP/PP,SE,J-SM,prompt_based_bundle
with this idea because,12,247.58,12,2,DC,DO,J-SM,non_prompt_based_bundle
have a part-time job,637,3205.34,275,34.38,VP,RF,J-WE,prompt_based_bundle
at all the restaurants,380,1912.13,226,28.25,NP/PP,RF,J-WE,prompt_based_bundle
to have a part-time,367,1846.72,223,27.88,DC,RF,J-WE,prompt_based_bundle
banned at all the,343,1725.95,219,27.38,VP,SE,J-WE,prompt_based_bundle
completely banned at all,322,1620.28,216,27,VP,SE,J-WE,prompt_based_bundle
all the restaurants in,309,1554.87,201,25.13,NP/PP,RF,J-WE,prompt_based_bundle
the restaurants in the,308,1549.83,202,25.25,NP/PP,RF,J-WE,prompt_based_bundle
restaurants in the country,305,1534.74,200,25,NP/PP,RF,J-WE,prompt_based_bundle
important for college students,297,1494.48,219,27.38,NP/PP,SE,J-WE,prompt_based_bundle
be completely banned at,296,1489.45,211,26.38,VP,SE,J-WE,prompt_based_bundle
for college students to,294,1479.39,212,26.5,NP/PP,RF,J-WE,prompt_based_bundle
is important for college,270,1358.62,201,25.13,VP,SE,J-WE,prompt_based_bundle
it is important for,268,1348.56,208,26,VP,SE,J-WE,prompt_based_bundle
should be completely banned,268,1348.56,191,23.88,VP,SE,J-WE,prompt_based_bundle
college students to have,256,1288.17,197,24.63,NP/PP,RF,J-WE,prompt_based_bundle
students to have a,252,1268.05,197,24.63,DC,RF,J-WE,prompt_based_bundle
smoking should be completely,244,1227.79,181,22.63,VP,SE,J-WE,prompt_based_bundle
I think it is,199,1001.35,152,19,VP,SE,J-WE,non_prompt_based_bundle
that smoking should be,180,905.75,135,16.88,DC,SE,J-WE,prompt_based_bundle
I agree with the,153,769.88,128,16,VP,SE,J-WE,prompt_based_bundle
that it is important,152,764.85,127,15.88,DC,SE,J-WE,prompt_based_bundle
having a part-time job,144,724.6,95,11.88,VP,RF,J-WE,prompt_based_bundle
I think that it,143,719.57,110,13.75,VP,SE,J-WE,non_prompt_based_bundle
I agree with this,139,699.44,131,16.38,VP,SE,J-WE,prompt_based_bundle
think that it is,136,684.34,105,13.13,VP,SE,J-WE,non_prompt_based_bundle
a part time job,123,618.93,58,7.25,NP/PP,RF,J-WE,prompt_based_bundle
a part-time job is,114,573.64,87,10.88,NP/PP,RF,J-WE,prompt_based_bundle
think it is important,107,538.42,89,11.13,VP,SE,J-WE,prompt_based_bundle
agree with the statement,96,483.07,78,9.75,VP,SE,J-WE,non_prompt_based_bundle
people who do n't,93,467.97,66,8.25,DC,RF,J-WE,non_prompt_based_bundle
who do n't smoke,79,397.52,55,6.88,DC,RF,J-WE,non_prompt_based_bundle
a lot of money,78,392.49,68,8.5,NP/PP,RF,J-WE,non_prompt_based_bundle
I think smoking should,73,367.33,60,7.5,VP,SE,J-WE,non_prompt_based_bundle
smoking should be banned,73,367.33,63,7.88,VP,SE,J-WE,prompt_based_bundle
think smoking should be,73,367.33,59,7.38,VP,SE,J-WE,non_prompt_based_bundle
think that smoking should,73,367.33,58,7.25,VP,SE,J-WE,non_prompt_based_bundle
I think that smoking,71,357.27,59,7.38,VP,SE,J-WE,non_prompt_based_bundle
should have a part-time,71,357.27,55,6.88,VP,SE,J-WE,non_prompt_based_bundle
agree with this statement,69,347.2,65,8.13,VP,SE,J-WE,prompt_based_bundle
a lot of people,66,332.11,62,7.75,NP/PP,RF,J-WE,non_prompt_based_bundle
have a part time,63,317.01,37,4.63,VP,RF,J-WE,prompt_based_bundle
a lot of things,61,306.95,49,6.13,NP/PP,RF,J-WE,non_prompt_based_bundle
have a lot of,55,276.76,49,6.13,VP,RF,J-WE,non_prompt_based_bundle
should be banned at,51,256.63,44,5.5,VP,SE,J-WE,prompt_based_bundle
do n't want to,50,251.6,47,5.88,VP,SE,J-WE,non_prompt_based_bundle
will be able to,48,241.53,36,4.5,VP,SE,J-WE,non_prompt_based_bundle
banned at all restaurants,46,231.47,32,4,VP,SE,J-WE,prompt_based_bundle
be banned at all,46,231.47,39,4.88,VP,SE,J-WE,prompt_based_bundle
all restaurants in Japan,45,226.44,35,4.38,NP/PP,RF,J-WE,non_prompt_based_bundle
college students should have,45,226.44,38,4.75,VP,SE,J-WE,prompt_based_bundle
There are three reasons,45,226.44,45,5.63,VP,DO,J-WE,non_prompt_based_bundle
are a lot of,43,216.37,39,4.88,VP,RF,J-WE,non_prompt_based_bundle
I think that we,43,216.37,33,4.13,VP,SE,J-WE,non_prompt_based_bundle
There are two reasons,43,216.37,43,5.38,VP,DO,J-WE,non_prompt_based_bundle
with the statement that,43,216.37,38,4.75,NP/PP,RF,J-WE,non_prompt_based_bundle
I do n't think,42,211.34,35,4.38,VP,SE,J-WE,non_prompt_based_bundle
it is important to,42,211.34,37,4.63,VP,SE,J-WE,prompt_based_bundle
agree with this opinion,41,206.31,39,4.88,VP,SE,J-WE,non_prompt_based_bundle
I do n't like,40,201.28,36,4.5,VP,SE,J-WE,non_prompt_based_bundle
I think that the,40,201.28,34,4.25,VP,SE,J-WE,non_prompt_based_bundle
smoking at all the,40,201.28,35,4.38,NP/PP,RF,J-WE,prompt_based_bundle
part-time job is important,39,196.25,36,4.5,VP,SE,J-WE,prompt_based_bundle
smoking is bad for,39,196.25,38,4.75,VP,SE,J-WE,non_prompt_based_bundle
at all restaurants in,38,191.21,29,3.63,NP/PP,RF,J-WE,prompt_based_bundle
do a part-time job,38,191.21,25,3.13,VP,RF,J-WE,non_prompt_based_bundle
smoking is banned at,38,191.21,32,4,VP,SE,J-WE,prompt_based_bundle
to have a part,38,191.21,29,3.63,DC,RF,J-WE,prompt_based_bundle
by having a part-time,37,186.18,30,3.75,DC,DO,J-WE,prompt_based_bundle
I think that college,37,186.18,33,4.13,VP,SE,J-WE,non_prompt_based_bundle
smoking is completely banned,37,186.18,34,4.25,VP,SE,J-WE,prompt_based_bundle
students should have a,37,186.18,30,3.75,VP,SE,J-WE,prompt_based_bundle
that college students should,37,186.18,30,3.75,DC,SE,J-WE,non_prompt_based_bundle
I have two reasons,36,181.15,36,4.5,VP,DO,J-WE,non_prompt_based_bundle
part time job is,36,181.15,26,3.25,NP/PP,RF,J-WE,prompt_based_bundle
a member of society,35,176.12,28,3.5,NP/PP,RF,J-WE,non_prompt_based_bundle
I do n't agree,35,176.12,27,3.38,VP,SE,J-WE,non_prompt_based_bundle
job is important for,35,176.12,33,4.13,VP,SE,J-WE,non_prompt_based_bundle
the importance of money,35,176.12,29,3.63,NP/PP,RF,J-WE,non_prompt_based_bundle
agree with the idea,34,171.09,28,3.5,VP,SE,J-WE,non_prompt_based_bundle
So I think that,34,171.09,32,4,VP,SE,J-WE,non_prompt_based_bundle
is completely banned at,33,166.05,30,3.75,VP,SE,J-WE,non_prompt_based_bundle
is not good for,33,166.05,31,3.88,VP,SE,J-WE,non_prompt_based_bundle
is the most important,33,166.05,33,4.13,VP,SE,J-WE,non_prompt_based_bundle
college students have a,32,161.02,29,3.63,NP/PP,RF,J-WE,prompt_based_bundle
do n't have a,32,161.02,31,3.88,VP,RF,J-WE,non_prompt_based_bundle
a part-time job to,31,155.99,27,3.38,NP/PP,RF,J-WE,non_prompt_based_bundle
I have a part-time,31,155.99,29,3.63,VP,SE,J-WE,prompt_based_bundle
I have three reasons,31,155.99,31,3.88,VP,DO,J-WE,non_prompt_based_bundle
think that college students,31,155.99,27,3.38,VP,SE,J-WE,non_prompt_based_bundle
I think we should,30,150.96,27,3.38,VP,SE,J-WE,non_prompt_based_bundle
It is important for,30,150.96,27,3.38,VP,SE,J-WE,prompt_based_bundle
n't have a part-time,30,150.96,28,3.5,VP,RF,J-WE,non_prompt_based_bundle
reason is that we,30,150.96,18,2.25,NP/PP,DO,J-WE,non_prompt_based_bundle
smoking should not be,30,150.96,20,2.5,VP,SE,J-WE,non_prompt_based_bundle
the most important thing,30,150.96,30,3.75,NP/PP,SE,J-WE,non_prompt_based_bundle
with the idea that,30,150.96,26,3.25,NP/PP,RF,J-WE,non_prompt_based_bundle
agree with this idea,29,145.93,27,3.38,VP,SE,J-WE,non_prompt_based_bundle
ban smoking at all,29,145.93,25,3.13,VP,SE,J-WE,prompt_based_bundle
I think college students,29,145.93,27,3.38,VP,SE,J-WE,non_prompt_based_bundle
is very important for,29,145.93,27,3.38,VP,SE,J-WE,non_prompt_based_bundle
people who do not,29,145.93,21,2.63,DC,RF,J-WE,non_prompt_based_bundle
that college students have,29,145.93,24,3,DC,DO,J-WE,prompt_based_bundle
a part-time job and,28,140.89,26,3.25,NP/PP,RF,J-WE,prompt_based_bundle
is one of the,28,140.89,27,3.38,VP,RF,J-WE,non_prompt_based_bundle
not be completely banned,28,140.89,18,2.25,VP,SE,J-WE,non_prompt_based_bundle
reasons why I think,28,140.89,28,3.5,NP/PP,DO,J-WE,non_prompt_based_bundle
should not be completely,28,140.89,18,2.25,VP,SE,J-WE,prompt_based_bundle
students have a part-time,28,140.89,24,3,VP,RF,J-WE,prompt_based_bundle
through a part-time job,28,140.89,22,2.75,DC,DO,J-WE,prompt_based_bundle
we do n't have,28,140.89,25,3.13,VP,SE,J-WE,non_prompt_based_bundle
a lot of time,27,135.86,26,3.25,NP/PP,RF,J-WE,non_prompt_based_bundle
statement that it is,27,135.86,24,3,NP/PP,RF,J-WE,non_prompt_based_bundle
the restaurant in Japan,27,135.86,19,2.38,NP/PP,RF,J-WE,prompt_based_bundle
there are many people,27,135.86,23,2.88,VP,RF,J-WE,non_prompt_based_bundle
why I think so,27,135.86,26,3.25,DC,SE,J-WE,non_prompt_based_bundle
idea that smoking should,26,130.83,22,2.75,DC,RF,J-WE,non_prompt_based_bundle
it is very important,26,130.83,23,2.88,VP,SE,J-WE,prompt_based_bundle
are many people who,25,125.8,21,2.63,VP,RF,J-WE,non_prompt_based_bundle
But I think that,25,125.8,22,2.75,VP,SE,J-WE,non_prompt_based_bundle
do n't have to,25,125.8,22,2.75,VP,SE,J-WE,non_prompt_based_bundle
need a lot of,25,125.8,24,3,VP,SE,J-WE,non_prompt_based_bundle
The first reason is,25,125.8,25,3.13,VP,DO,J-WE,non_prompt_based_bundle
The second reason is,25,125.8,25,3.13,VP,DO,J-WE,non_prompt_based_bundle
why I agree with,25,125.8,24,3,DC,SE,J-WE,non_prompt_based_bundle
agree with the opinion,24,120.77,21,2.63,VP,SE,J-WE,non_prompt_based_bundle
for college student to,24,120.77,22,2.75,NP/PP,RF,J-WE,prompt_based_bundle
I think that they,24,120.77,19,2.38,VP,SE,J-WE,non_prompt_based_bundle
is banned at all,24,120.77,20,2.5,VP,SE,J-WE,non_prompt_based_bundle
part-time job is a,24,120.77,24,3,NP/PP,RF,J-WE,prompt_based_bundle
second reason is that,24,120.77,24,3,NP/PP,DO,J-WE,non_prompt_based_bundle
So I think it,24,120.77,23,2.88,VP,SE,J-WE,non_prompt_based_bundle
statement that smoking should,24,120.77,20,2.5,NP/PP,SE,J-WE,non_prompt_based_bundle
the statement that it,24,120.77,22,2.75,DC,RF,J-WE,non_prompt_based_bundle
there are a lot,24,120.77,22,2.75,VP,RF,J-WE,non_prompt_based_bundle
they have a part-time,24,120.77,20,2.5,VP,RF,J-WE,prompt_based_bundle
bad for our health,23,115.73,20,2.5,NP/PP,SE,J-WE,non_prompt_based_bundle
do n't like smoking,23,115.73,18,2.25,VP,SE,J-WE,non_prompt_based_bundle
I disagree with the,23,115.73,22,2.75,VP,SE,J-WE,prompt_based_bundle
It is true that,23,115.73,23,2.88,VP,SE,J-WE,non_prompt_based_bundle
think it is very,23,115.73,21,2.63,VP,SE,J-WE,non_prompt_based_bundle
we are college students,23,115.73,21,2.63,VP,RF,J-WE,non_prompt_based_bundle
who do not smoke,23,115.73,19,2.38,DC,DO,J-WE,non_prompt_based_bundle
are three reasons why,22,110.7,22,2.75,VP,RF,J-WE,non_prompt_based_bundle
do n't agree with,22,110.7,17,2.13,VP,SE,J-WE,non_prompt_based_bundle
do n't think that,22,110.7,19,2.38,VP,SE,J-WE,non_prompt_based_bundle
first reason is that,22,110.7,22,2.75,DC,DO,J-WE,non_prompt_based_bundle
I agree this statement,22,110.7,18,2.25,VP,SE,J-WE,prompt_based_bundle
I do n't have,22,110.7,20,2.5,VP,RF,J-WE,non_prompt_based_bundle
I do n't smoke,22,110.7,21,2.63,VP,RF,J-WE,non_prompt_based_bundle
important for us to,22,110.7,22,2.75,NP/PP,SE,J-WE,non_prompt_based_bundle
is very bad for,22,110.7,20,2.5,VP,SE,J-WE,non_prompt_based_bundle
learn a lot of,22,110.7,20,2.5,VP,SE,J-WE,non_prompt_based_bundle
the idea that smoking,22,110.7,19,2.38,NP/PP,DO,J-WE,non_prompt_based_bundle
part-time job is very,21,105.67,19,2.38,VP,SE,J-WE,prompt_based_bundle
student to have a,21,105.67,19,2.38,DC,RF,J-WE,prompt_based_bundle
we have a part-time,21,105.67,17,2.13,VP,RF,J-WE,prompt_based_bundle
college student to have,20,100.64,18,2.25,NP/PP,RF,J-WE,prompt_based_bundle
I agree that smoking,20,100.64,19,2.38,VP,SE,J-WE,non_prompt_based_bundle
important for college student,20,100.64,18,2.25,NP/PP,SE,J-WE,prompt_based_bundle
it is difficult to,20,100.64,20,2.5,VP,SE,J-WE,non_prompt_based_bundle
know the importance of,20,100.64,19,2.38,VP,SE,J-WE,non_prompt_based_bundle
Smoking should be completely,20,100.64,17,2.13,VP,SE,J-WE,prompt_based_bundle
That is why I,20,100.64,19,2.38,DC,DO,J-WE,non_prompt_based_bundle
the statement that smoking,20,100.64,17,2.13,DC,RF,J-WE,non_prompt_based_bundle
There are some reasons,20,100.64,20,2.5,VP,DO,J-WE,non_prompt_based_bundle
very important for college,20,100.64,19,2.38,NP/PP,SE,J-WE,prompt_based_bundle
we should have a,20,100.64,19,2.38,VP,SE,J-WE,non_prompt_based_bundle
with the opinion that,20,100.64,19,2.38,NP/PP,RF,J-WE,non_prompt_based_bundle
a part-time job for,19,95.61,17,2.13,NP/PP,RF,J-WE,non_prompt_based_bundle
agree that smoking should,19,95.61,18,2.25,VP,SE,J-WE,non_prompt_based_bundle
I disagree with this,19,95.61,19,2.38,VP,SE,J-WE,prompt_based_bundle
I do n't want,19,95.61,19,2.38,VP,SE,J-WE,non_prompt_based_bundle
I think that a,19,95.61,18,2.25,VP,SE,J-WE,non_prompt_based_bundle
is bad for health,19,95.61,17,2.13,VP,SE,J-WE,non_prompt_based_bundle
On the other hand,19,95.61,19,2.38,NP/PP,DO,J-WE,non_prompt_based_bundle
people who want to,19,95.61,18,2.25,DC,SE,J-WE,non_prompt_based_bundle
This is why I,19,95.61,19,2.38,DC,DO,J-WE,non_prompt_based_bundle
three reasons why I,19,95.61,19,2.38,DC,DO,J-WE,non_prompt_based_bundle
it is not good,18,90.57,18,2.25,VP,SE,J-WE,non_prompt_based_bundle
not have a part-time,18,90.57,18,2.25,VP,RF,J-WE,non_prompt_based_bundle
So I agree with,18,90.57,18,2.25,VP,SE,J-WE,non_prompt_based_bundle
There are a lot,18,90.57,17,2.13,VP,RF,J-WE,non_prompt_based_bundle
think college students should,18,90.57,17,2.13,VP,SE,J-WE,non_prompt_based_bundle
who do n't like,18,90.57,17,2.13,DC,DO,J-WE,non_prompt_based_bundle
I think there are,17,85.54,17,2.13,VP,SE,J-WE,non_prompt_based_bundle
most important thing for,17,85.54,17,2.13,NP/PP,SE,J-WE,non_prompt_based_bundle
that smoking is bad,17,85.54,17,2.13,DC,SE,J-WE,non_prompt_based_bundle
to ban smoking at,17,85.54,17,2.13,DC,SE,J-WE,non_prompt_based_bundle
who want to smoke,17,85.54,17,2.13,DC,DO,J-WE,non_prompt_based_bundle
smoking should be banned,159,1512.84491,138,23,VP,SE,ENS-SM,prompt_based_bundle
have a part-time job,150,1427.21218,114,19,VP,RF,ENS-SM,prompt_based_bundle
a part time job,135,1284.49096,66,11,NP/PP,RF,ENS-SM,prompt_based_bundle
that smoking should be,116,1103.71075,105,17.5,DC,SE,ENS-SM,prompt_based_bundle
should be banned in,101,960.98953,88,14.66667,VP,SE,ENS-SM,prompt_based_bundle
I do n't think,97,922.93054,85,14.16667,VP,SE,ENS-SM,non_prompt_based_bundle
to have a part-time,86,818.26832,75,12.5,DC,RF,ENS-SM,prompt_based_bundle
have a part time,74,704.09134,48,8,VP,RF,ENS-SM,prompt_based_bundle
students to have a,72,685.06185,65,10.83333,DC,RF,ENS-SM,prompt_based_bundle
to be able to,65,618.45861,50,8.33333,DC,SE,ENS-SM,non_prompt_based_bundle
be banned in all,58,551.85538,50,8.33333,VP,SE,ENS-SM,prompt_based_bundle
having a part-time job,56,532.82588,50,8.33333,VP,RF,ENS-SM,prompt_based_bundle
college students to have,51,485.25214,47,7.83333,NP/PP,RF,ENS-SM,prompt_based_bundle
for college students to,51,485.25214,48,8,NP/PP,RF,ENS-SM,prompt_based_bundle
banned in all restaurants,46,437.6784,42,7,VP,SE,ENS-SM,prompt_based_bundle
do n't think it,42,399.61941,38,6.33333,VP,SE,ENS-SM,non_prompt_based_bundle
important for college students,41,390.10466,38,6.33333,NP/PP,SE,ENS-SM,prompt_based_bundle
to have a part,41,390.10466,31,5.16667,DC,RF,ENS-SM,prompt_based_bundle
should have a part-time,39,371.07517,36,6,VP,SE,ENS-SM,non_prompt_based_bundle
a part-time job while,37,352.04567,33,5.5,NP/PP,RF,ENS-SM,prompt_based_bundle
I do n't know,36,342.53092,29,4.83333,VP,SE,ENS-SM,non_prompt_based_bundle
think that smoking should,35,333.01618,32,5.33333,VP,SE,ENS-SM,prompt_based_bundle
do n't want to,34,323.50143,29,4.83333,VP,SE,ENS-SM,non_prompt_based_bundle
I think that smoking,31,294.95718,29,4.83333,VP,SE,ENS-SM,non_prompt_based_bundle
students should have a,31,294.95718,29,4.83333,VP,SE,ENS-SM,non_prompt_based_bundle
at the same time,30,285.44244,22,3.66667,NP/PP,RF,ENS-SM,non_prompt_based_bundle
believe that smoking should,30,285.44244,28,4.66667,VP,SE,ENS-SM,non_prompt_based_bundle
I think it is,30,285.44244,27,4.5,VP,SE,ENS-SM,non_prompt_based_bundle
think smoking should be,30,285.44244,29,4.83333,VP,SE,ENS-SM,prompt_based_bundle
I think that it,29,275.92769,25,4.16667,VP,SE,ENS-SM,non_prompt_based_bundle
it is important for,29,275.92769,28,4.66667,VP,SE,ENS-SM,prompt_based_bundle
agree that smoking should,28,266.41294,27,4.5,VP,SE,ENS-SM,prompt_based_bundle
be banned in restaurants,27,256.89819,26,4.33333,VP,SE,ENS-SM,prompt_based_bundle
do n't have to,27,256.89819,27,4.5,VP,SE,ENS-SM,non_prompt_based_bundle
a lot of people,26,247.38344,24,4,NP/PP,RF,ENS-SM,non_prompt_based_bundle
should be banned from,26,247.38344,23,3.83333,VP,SE,ENS-SM,prompt_based_bundle
while they are in,26,247.38344,23,3.83333,DC,SE,ENS-SM,non_prompt_based_bundle
with the statement that,26,247.38344,26,4.33333,NP/PP,RF,ENS-SM,non_prompt_based_bundle
a part-time job is,25,237.8687,21,3.5,NP/PP,RF,ENS-SM,prompt_based_bundle
and I think that,25,237.8687,23,3.83333,VP,SE,ENS-SM,non_prompt_based_bundle
I think smoking should,25,237.8687,24,4,VP,SE,ENS-SM,non_prompt_based_bundle
job while they are,25,237.8687,25,4.16667,DC,RF,ENS-SM,non_prompt_based_bundle
should be completely banned,25,237.8687,24,4,VP,SE,ENS-SM,prompt_based_bundle
college students should have,24,228.35395,24,4,VP,SE,ENS-SM,prompt_based_bundle
I agree with the,24,228.35395,24,4,VP,SE,ENS-SM,prompt_based_bundle
I believe that it,24,228.35395,19,3.16667,VP,SE,ENS-SM,non_prompt_based_bundle
do n't think that,23,218.8392,22,3.66667,VP,SE,ENS-SM,non_prompt_based_bundle
part time job because,23,218.8392,22,3.66667,NP/PP,SE,ENS-SM,prompt_based_bundle
smoking should be completely,23,218.8392,22,3.66667,VP,SE,ENS-SM,prompt_based_bundle
agree with the statement,22,209.32445,22,3.66667,VP,SE,ENS-SM,prompt_based_bundle
for students to have,22,209.32445,21,3.5,NP/PP,RF,ENS-SM,prompt_based_bundle
I believe that smoking,22,209.32445,21,3.5,VP,SE,ENS-SM,non_prompt_based_bundle
it should be banned,22,209.32445,21,3.5,VP,SE,ENS-SM,prompt_based_bundle
part-time job while they,22,209.32445,22,3.66667,NP/PP,RF,ENS-SM,non_prompt_based_bundle
they do n't have,22,209.32445,22,3.66667,VP,SE,ENS-SM,non_prompt_based_bundle
to have a job,22,209.32445,20,3.33333,DC,RF,ENS-SM,prompt_based_bundle
I agree that smoking,21,199.80971,19,3.16667,VP,SE,ENS-SM,non_prompt_based_bundle
if you do n't,21,199.80971,16,2.66667,VP,SE,ENS-SM,non_prompt_based_bundle
a part-time job because,20,190.29496,19,3.16667,NP/PP,SE,ENS-SM,prompt_based_bundle
important for students to,20,190.29496,18,3,NP/PP,SE,ENS-SM,prompt_based_bundle
should be able to,20,190.29496,19,3.16667,VP,SE,ENS-SM,non_prompt_based_bundle
the people around them,20,190.29496,20,3.33333,NP/PP,RF,ENS-SM,non_prompt_based_bundle
bad for your health,19,180.78021,18,3,NP/PP,SE,ENS-SM,non_prompt_based_bundle
having a part time,19,180.78021,14,2.33333,VP,RF,ENS-SM,prompt_based_bundle
people who do n't,19,180.78021,16,2.66667,DC,RF,ENS-SM,non_prompt_based_bundle
and I think it,18,171.26546,18,3,VP,SE,ENS-SM,non_prompt_based_bundle
student to have a,18,171.26546,15,2.5,DC,RF,ENS-SM,prompt_based_bundle
that college students should,18,171.26546,18,3,DC,SE,ENS-SM,prompt_based_bundle
you do n't have,18,171.26546,15,2.5,VP,SE,ENS-SM,non_prompt_based_bundle
banned at all restaurants,17,161.75071,16,2.66667,VP,SE,ENS-SM,prompt_based_bundle
I also think that,17,161.75071,15,2.5,VP,SE,ENS-SM,non_prompt_based_bundle
I do believe that,17,161.75071,16,2.66667,VP,SE,ENS-SM,non_prompt_based_bundle
is important for college,17,161.75071,15,2.5,VP,SE,ENS-SM,prompt_based_bundle
restaurants in the country,17,161.75071,16,2.66667,NP/PP,RF,ENS-SM,prompt_based_bundle
a part-time job in,16,152.23597,15,2.5,NP/PP,RF,ENS-SM,prompt_based_bundle
On the other hand,16,152.23597,15,2.5,NP/PP,DO,ENS-SM,non_prompt_based_bundle
should be banned at,16,152.23597,15,2.5,VP,SE,ENS-SM,prompt_based_bundle
a part-time job and,15,142.72122,15,2.5,NP/PP,RF,ENS-SM,prompt_based_bundle
and I do n't,15,142.72122,13,2.16667,VP,SE,ENS-SM,non_prompt_based_bundle
